sl,ipa_data_point
1,buyer
2,style
3,item
4,date
5,order_quantity
6,smv
7,sam
8,input_date
9,running_days
10,day_input
11,machines
12,total_target
13,hourly_target
14,lo_actual
15,hl_actual
16,actual_manpower_ttl
17,hours
18,day_output
19,available_mins
20,output_mins
21,target_mins
22,lo_present
23,lo_absent
24,lo_registered
25,hl_present
26,hl_absent
27,hl_registered
28,iron_present
29,iron_absent
30,iron_registered
31,total_present
32,total_absent
33,ttl_check
34,ttl_qc_pass
35,alter
36,spot
37,reject
